"skill_level_id","skill_id","level","source_action_label","damage_multiplier","mp_cost","hp_drain_chance_percent","hp_drain_multiplier","direct_attack_bonus_multiplier"
"skill-normal-attack-lv1","skill-normal-attack","1","nomalAtk","1","0","0","0","0"
"skill-mi-zhan-lv1","skill-mi-zhan","1","w8/manycut","1.4","5","0","0","0"
"skill-duo-duan-zhan-lv1","skill-duo-duan-zhan","1","w8/ddz1","1.55","8","0","0","0"
"skill-duo-duan-zhan-lv2","skill-duo-duan-zhan","2","w8/ddz1","1.6","10","0","0","0"
"skill-duo-duan-zhan-lv3","skill-duo-duan-zhan","3","w8/ddz2","1.65","12","0","0","0"
"skill-duo-duan-zhan-lv4","skill-duo-duan-zhan","4","w8/ddz2","1.7","14","0","0","0"
"skill-duo-duan-zhan-lv5","skill-duo-duan-zhan","5","w8/ddz2","1.75","16","0","0","0"
"skill-shi-xue-zhan-lv1","skill-shi-xue-zhan","1","w8/xyz1","0.92","24","82","0.7","0"
"skill-shi-xue-zhan-lv2","skill-shi-xue-zhan","2","w8/xyz1","0.94","26","84","0.7","0"
"skill-shi-xue-zhan-lv3","skill-shi-xue-zhan","3","w8/xyz2","0.96","28","86","0.7","0"
"skill-kuang-bao-lv1","skill-kuang-bao","1","w8/kb","0","15","0","0","0"
"skill-hong-yue-zhan-lv1","skill-hong-yue-zhan","1","w8/redMoonAtk","0.72","40","0","0","0"
"skill-xue-qie-lv1","skill-xue-qie","1","w8/cutBlood","0.3","19","0","0","0"
"skill-pi-shan-gun-fa-lv1","skill-pi-shan-gun-fa","1","w11/cutHill2","1.55","8","0","0","0"
"skill-pi-shan-gun-fa-lv2","skill-pi-shan-gun-fa","2","w11/cutHill2","1.6","10","0","0","0"
"skill-pi-shan-gun-fa-lv3","skill-pi-shan-gun-fa","3","w11/cutHill2","1.65","12","0","0","0"
"skill-pi-shan-gun-fa-lv4","skill-pi-shan-gun-fa","4","w11/cutHill2","1.7","14","0","0","0"
"skill-pi-shan-gun-fa-lv5","skill-pi-shan-gun-fa","5","w11/cutHill2","1.75","16","0","0","0"
"skill-ye-cha-gun-fa-lv1","skill-ye-cha-gun-fa","1","w11/yaksa","1.12","15","0","0","0"
"skill-li-shi-gun-shu-lv1","skill-li-shi-gun-shu","1","w11/releasePower","0","10","0","0","0"
"skill-pan-long-gun-fa-lv1","skill-pan-long-gun-fa","1","w11/circleDargon","0.82","14","0","0","0"
"skill-duo-duan-ci-lv5","skill-duo-duan-ci","5","w3/ddCut","1.45","18","0","0","0"
"skill-qiang-li-fei-biao-lv2","skill-qiang-li-fei-biao","2","w3/powerDart","1.48","20","0","0","0"
"skill-qiang-li-fei-biao-lv3","skill-qiang-li-fei-biao","3","w3/powerDart","1.5","24","0","0","0"
"skill-tou-du-lv1","skill-tou-du","1","w3/drugAtk","0","16","0","0","0"
"skill-mo-li-tu-ci-lv1","skill-mo-li-tu-ci","1","w3/magicCut","1","20","0","0","0"
"skill-ji-feng-ci-lv1","skill-ji-feng-ci","1","w3/windCut","0.4","20","0","0","0"
"skill-jie-du-shu-lv1","skill-jie-du-shu","1","w3/releaseDrug","0","20","0","0","0"
"skill-lei-hun-zhan-lv1","skill-lei-hun-zhan","1","w8/thunderSoulAtk","3.4","24","0","0","0"
"skill-ao-yi-an-sha-zhe-lv1","skill-ao-yi-an-sha-zhe","1","w3/assassinate","2.8","26","0","0","0"
"skill-ao-yi-liu-he-gun-fa-lv1","skill-ao-yi-liu-he-gun-fa","1","w11/liuhe","3.1","24","0","0","0"
"skill-qiang-she-lv5","skill-qiang-she","5","w1/powerShoot","1.45","18","0","0","0"
"skill-guan-jia-lian-shi-lv2","skill-guan-jia-lian-shi","2","w1/breakArmorShoot2","1.1","25","0","0","0.15"
"skill-guan-jia-lian-shi-lv5","skill-guan-jia-lian-shi","5","w1/breakArmorShoot2","1.25","28","0","0","0.3"
"skill-bing-jian-su-she-lv5","skill-bing-jian-su-she","5","w1/iceShoot","0.7","28","0","0","0"
"skill-mo-li-su-she-lv5","skill-mo-li-su-she","5","w1/magicShoot","0.5","34","0","0","0"
"skill-an-ying-jian-lv1","skill-an-ying-jian","1","w1/darkShoot","0.72","20","0","0","0"
"skill-du-shi-lv1","skill-du-shi","1","w1/drugShoot","0.9","15","0","0","0"
"skill-yan-shou-shu-lv5","skill-yan-shou-shu","5","w10/fire2","1.75","80","0","0","0"
"skill-chi-yan-mo-zhou-lv2","skill-chi-yan-mo-zhou","2","w10/bombFire","0.85","65","0","0","0"
"skill-chi-yan-mo-zhou-lv3","skill-chi-yan-mo-zhou","3","w10/bombFire","0.9","75","0","0","0"
"skill-chi-yan-mo-zhou-lv4","skill-chi-yan-mo-zhou","4","w10/bombFire","0.95","85","0","0","0"
"skill-chi-yan-mo-zhou-lv5","skill-chi-yan-mo-zhou","5","w10/bombFire","1","95","0","0","0"
"skill-lei-ji-lv3","skill-lei-ji","3","w10/thunderMagicAtk","1.2","75","0","0","0"
"skill-lei-ji-lv4","skill-lei-ji","4","w10/thunderMagicAtk","1.25","85","0","0","0"
"skill-lei-ji-lv5","skill-lei-ji","5","w10/thunderMagicAtk","1.3","95","0","0","0"
"skill-lei-bao-zhou-lv1","skill-lei-bao-zhou","1","w10/thunderBombs","0.82","70","0","0","0"
"skill-lei-bao-zhou-lv2","skill-lei-bao-zhou","2","w10/thunderBombs","0.84","80","0","0","0"
"skill-lei-bao-zhou-lv3","skill-lei-bao-zhou","3","w10/thunderBombs","0.86","90","0","0","0"
"skill-lei-bao-zhou-lv4","skill-lei-bao-zhou","4","w10/thunderBombs","0.88","100","0","0","0"
"skill-lei-bao-zhou-lv5","skill-lei-bao-zhou","5","w10/thunderBombs","0.9","110","0","0","0"
"skill-huo-shen-zhou-lv1","skill-huo-shen-zhou","1","w10/fireFiend","1","220","0","0","0"
"skill-huo-shen-zhou-lv2","skill-huo-shen-zhou","2","w10/fireFiend","1.05","230","0","0","0"
"skill-huo-shen-zhou-lv3","skill-huo-shen-zhou","3","w10/fireFiend","1.1","240","0","0","0"
"skill-huo-shen-zhou-lv4","skill-huo-shen-zhou","4","w10/fireFiend","1.15","250","0","0","0"
"skill-huo-shen-zhou-lv5","skill-huo-shen-zhou","5","w10/fireFiend","1.2","260","0","0","0"
"skill-shi-yu-shu-lv1","skill-shi-yu-shu","1","w10/rockRain","0.7","55","0","0","0"
"skill-shi-yu-shu-lv2","skill-shi-yu-shu","2","w10/rockRain","0.75","65","0","0","0"
"skill-shi-yu-shu-lv3","skill-shi-yu-shu","3","w10/rockRain","0.8","75","0","0","0"
"skill-shi-yu-shu-lv4","skill-shi-yu-shu","4","w10/rockRain","0.85","85","0","0","0"
"skill-shi-yu-shu-lv5","skill-shi-yu-shu","5","w10/rockRain","0.9","95","0","0","0"
"skill-lei-long-qiang-xi-lv1","skill-lei-long-qiang-xi","1","w10/thunderDrongAtk","2.8","125","0","0","0"
"skill-mo-zhang-shu-lv2","skill-mo-zhang-shu","2","w10/magicObstacle","0","90","0","0","0"
"skill-mo-zhang-shu-lv3","skill-mo-zhang-shu","3","w10/magicObstacle","0","110","0","0","0"
"skill-mo-zhang-shu-lv4","skill-mo-zhang-shu","4","w10/magicObstacle","0","130","0","0","0"
"skill-mo-zhang-shu-lv5","skill-mo-zhang-shu","5","w10/magicObstacle","0","150","0","0","0"
"skill-ao-yi-hong-lei-shi-lv1","skill-ao-yi-hong-lei-shi","1","w1/bombThunderShoot","2.2","26","0","0","0"
"skill-taunt-lv1","skill-taunt","1","com/tx","0","20","0","0","0"
"skill-juan-ye-shi-lv1","skill-juan-ye-shi","1","w7/jys2","1.55","8","0","0","0"
"skill-juan-ye-shi-lv2","skill-juan-ye-shi","2","w7/jys2","1.6","10","0","0","0"
"skill-juan-ye-shi-lv3","skill-juan-ye-shi","3","w7/jys2","1.65","12","0","0","0"
"skill-juan-ye-shi-lv4","skill-juan-ye-shi","4","w7/jys2","1.7","14","0","0","0"
"skill-juan-ye-shi-lv5","skill-juan-ye-shi","5","w7/jys2","1.75","16","0","0","0"
"skill-qiang-guan-shi-lv1","skill-qiang-guan-shi","1","w7/qgs1","1.51","12","0","0","0"
"skill-qiang-guan-shi-lv2","skill-qiang-guan-shi","2","w7/qgs1","1.52","13","0","0","0"
"skill-qiang-guan-shi-lv3","skill-qiang-guan-shi","3","w7/qgs1","1.53","15","0","0","0"
"skill-qiang-guan-shi-lv4","skill-qiang-guan-shi","4","w7/qgs1","1.54","17","0","0","0"
"skill-qiang-guan-shi-lv5","skill-qiang-guan-shi","5","w7/qgs1","1.55","20","0","0","0"
"skill-ning-shen-shi-lv1","skill-ning-shen-shi","1","w7/nss","0","12","0","0","0"
"skill-ning-shen-shi-lv2","skill-ning-shen-shi","2","w7/nss","0","14","0","0","0"
"skill-ning-shen-shi-lv3","skill-ning-shen-shi","3","w7/nss","0","16","0","0","0"
"skill-ning-shen-shi-lv4","skill-ning-shen-shi","4","w7/nss","0","18","0","0","0"
"skill-ning-shen-shi-lv5","skill-ning-shen-shi","5","w7/nss","0","22","0","0","0"
"skill-kuang-wu-shi-lv1","skill-kuang-wu-shi","1","w7/kws","0.8","22","0","0","0"
"skill-kuang-wu-shi-lv2","skill-kuang-wu-shi","2","w7/kws","0.85","24","0","0","0"
"skill-kuang-wu-shi-lv3","skill-kuang-wu-shi","3","w7/kws","0.9","26","0","0","0"
"skill-kuang-wu-shi-lv4","skill-kuang-wu-shi","4","w7/kws","0.95","28","0","0","0"
"skill-kuang-wu-shi-lv5","skill-kuang-wu-shi","5","w7/kws","1","30","0","0","0"
"skill-qi-yu-shi-lv1","skill-qi-yu-shi","1","w7/qys","0","15","0","0","0"
"skill-qi-yu-shi-lv2","skill-qi-yu-shi","2","w7/qys","0","19","0","0","0"
"skill-qi-yu-shi-lv3","skill-qi-yu-shi","3","w7/qys","0","23","0","0","0"
"skill-qi-yu-shi-lv4","skill-qi-yu-shi","4","w7/qys","0","27","0","0","0"
"skill-qi-yu-shi-lv5","skill-qi-yu-shi","5","w7/qys","0","31","0","0","0"
"skill-ao-yi-piao-xue-lv1","skill-ao-yi-piao-xue","1","w7/aypx","3","26","0","0","0"
"skill-ao-yi-piao-xue-lv2","skill-ao-yi-piao-xue","2","w7/aypx","3.1","30","0","0","0"
"skill-ao-yi-piao-xue-lv3","skill-ao-yi-piao-xue","3","w7/aypx","3.2","34","0","0","0"
"skill-ao-yi-piao-xue-lv4","skill-ao-yi-piao-xue","4","w7/aypx","3.3","38","0","0","0"
"skill-fist-double-atk-lv5","skill-fist-double-atk","5","w5/doubleAtk","1.45","18","0","0","0"
"skill-fist-pow-hit-lv5","skill-fist-pow-hit","5","w5/powHit","1","28","0","0","0"
"skill-fist-influx-gas-lv5","skill-fist-influx-gas","5","w5/influxGas","0","32","0","0","0"
"skill-fist-break-soul-lv5","skill-fist-break-soul","5","w5/breakSoul","1.5","36","0","0","0.3"
"skill-fist-move-shadow-lv4","skill-fist-move-shadow","4","w5/moveShadow","0","36","0","0","0"
"skill-fist-power-axe-wing-lv4","skill-fist-power-axe-wing","4","w5/PowerAxeWing","2.7","38","0","0","0"
